id,title,author,description
1,"The Hobbit","J.R.R. Tolkien","A fantasy novel"
2,1984,"George Orwell","Dystopian future"
3,Dune,"Frank Herbert","Sci-fi epic"
4,"To Kill a Mockingbird","Harper Lee","A novel about racial injustice"
5,"Pride and Prejudice","Jane Austen","A romantic novel of manners"
6,"Brave New World","Aldous Huxley","Dystopian science fiction"
7,"The Great Gatsby","F. Scott Fitzgerald","A novel about the American dream"
8,Frankenstein,"Mary Shelley","Gothic science fiction"
9,"The Catcher in the Rye","J.D. Salinger","A story of teenage alienation"
10,"The Lord of the Rings","J.R.R. Tolkien","An epic high fantasy adventure"
